clinopyroxene,1112,1112,1112,1112,1112,1115,1118,1121,1124,1133,1142,QFM +2,10
olivine,1199,1199,1199,1199,1199,1199,1199,1199,1199,1202,1205,QFM +2,10
feldspar,,,,,1004,1025,1046,1067,1088,1109,1130,QFM +2,10
clinopyroxene,1115,1115,1115,1115,1115,1118,1121,1124,1127,1133,1142,QFM +2,10
olivine,1199,1199,1199,1199,1199,1199,1199,1199,1202,1202,1205,QFM +2,10
feldspar,,,,,1004,1025,1046,1070,1091,1109,1130,QFM +2,10
clinopyroxene,1115,1115,1115,1115,1118,1118,1121,1124,1130,1136,1145,QFM +2,10
olivine,1193,1190,1190,1190,1190,1190,1190,1193,1193,1193,1196,QFM +2,10
feldspar,,,,,1010,1031,1052,1073,1094,1112,1133,QFM +2,10
clinopyroxene,1115,1115,1115,1115,1118,1118,1121,1124,1130,1136,1145,QFM +2,10
olivine,1196,1196,1196,1196,1196,1196,1196,1196,1199,1199,1202,QFM +2,10
feldspar,,,,,1004,1025,1046,1067,1088,1109,1130,QFM +2,10
clinopyroxene,1115,1115,1115,1115,1115,1118,1121,1124,1127,1133,1142,QFM +2,10
olivine,1184,1184,1184,1184,1184,1184,1184,1184,1184,1187,1190,QFM +2,10
feldspar,,,,,1007,1025,1046,1067,1088,1109,1130,QFM +2,10
clinopyroxene,1112,1112,1112,1112,1115,1115,1118,1121,1127,1133,1142,QFM +2,10
olivine,1145,1145,1145,1145,1145,1145,1145,1145,1145,1148,1148,QFM +2,10
feldspar,,,,1001,1016,1031,1046,1064,1082,1103,1124,QFM +2,10
clinopyroxene,1115,1115,1115,1115,1118,1118,1121,1124,1130,1136,1145,QFM +2,10
olivine,1136,1136,1133,1133,1133,1133,1133,1133,1136,1136,1115,QFM +2,10
feldspar,,,,,1010,1025,1040,1058,1076,1094,1118,QFM +2,10
clinopyroxene,1115,1115,1115,1115,1115,1118,1121,1124,1127,1133,1142,QFM +2,10
feldspar,,,,,,,1004,1019,1037,1061,1088,QFM +2,10
feldspar,,,,,,,1016,1031,1049,1070,1097,QFM +2,10
clinopyroxene,1019,1019,1019,1022,1022,1025,1028,1031,,,,QFM +2,10
olivine,1187,1187,1187,1187,1187,1187,1187,1190,1190,1190,1193,QFM +2,10
feldspar,,,,,1007,1025,1046,1067,1085,1103,1127,QFM +2,10
clinopyroxene,1109,1109,1109,1109,1112,1112,1115,1118,1124,1130,1139,QFM +2,10
feldspar,,,,,,1010,1025,1043,1061,1082,1106,QFM +2,10
clinopyroxene,1097,1097,1097,1097,1100,1100,1103,1106,1109,1115,1124,QFM +2,10
